epoch	loss	acc	val_loss	val_acc
0	0.696574	0.593750	0.568169	0.783750
1	0.551266	0.719512	0.458301	0.832500
2	0.466228	0.790650	0.384064	0.848750
3	0.404674	0.828760	0.332787	0.871250
4	0.359586	0.848069	0.313987	0.868750
5	0.335172	0.855183	0.274269	0.888750
6	0.296793	0.871443	0.259639	0.890000
7	0.272452	0.890752	0.237843	0.897500
8	0.259609	0.890752	0.224938	0.905000
9	0.245346	0.902947	0.226028	0.910000
10	0.233486	0.904472	0.228177	0.903750
11	0.235288	0.904980	0.208487	0.911250
12	0.209749	0.913618	0.209557	0.916250
13	0.200764	0.918191	0.213814	0.912500
14	0.204149	0.915650	0.193545	0.917500
15	0.185214	0.930386	0.191613	0.922500
16	0.186997	0.920224	0.210948	0.907500
17	0.188235	0.926829	0.197535	0.920000
18	0.183389	0.929370	0.182651	0.920000
19	0.177619	0.934451	0.178173	0.926250
