epoch	loss	acc	val_loss	val_acc
0	0.734273	0.487399	0.693058	0.500000
1	0.693898	0.501524	0.692865	0.507500
2	0.692359	0.517276	0.690583	0.518750
3	0.690902	0.522866	0.712995	0.497500
4	0.694611	0.524390	0.685060	0.606250
5	0.687836	0.559451	0.702571	0.528750
6	0.687164	0.582825	0.675029	0.582500
7	0.674429	0.600102	0.655965	0.636250
8	0.655397	0.631606	0.637579	0.650000
9	0.625763	0.664126	0.628863	0.645000
10	0.628230	0.664126	0.619503	0.643750
11	0.608627	0.671748	0.605727	0.673750
12	0.600397	0.681911	0.611981	0.673750
13	0.567298	0.715955	0.589204	0.681250
14	0.558264	0.710874	0.583810	0.682500
15	0.541181	0.737805	0.581200	0.716250
16	0.536798	0.716972	0.570875	0.713750
17	0.517351	0.735772	0.566282	0.698750
18	0.511705	0.745427	0.590084	0.687500
19	0.479260	0.775407	0.578250	0.707500
